# step	time [s]	loss min	loss median	loss max	learning rate
0	1	2.36719	2.36719	2.36719	0.1
100	3	2.04887	2.2377	2.45955	0.1
200	4	1.8352	2.07897	2.27471	0.1
300	5	1.66071	1.95507	2.29837	0.1
400	6	1.603	1.82182	2.38354	0.1
500	6	1.39845	1.74367	2.09121	0.1
600	7	1.45447	1.68378	1.95766	0.1
700	8	1.43857	1.65121	2.33056	0.1
800	8	1.3637	1.62088	2.13132	0.1
900	9	1.36738	1.57246	2.05055	0.1
1000	10	1.24386	1.55644	1.85495	0.1
1100	12	1.16049	1.50351	1.80232	0.1
1200	13	1.1419	1.48994	2.06447	0.1
1300	14	1.10443	1.47713	1.97395	0.1
1400	15	1.21321	1.43637	1.8128	0.1
1500	15	1.1405	1.4066	1.70594	0.1
1600	16	1.09862	1.39606	1.6462	0.1
1700	17	1.13956	1.38	1.63233	0.1
1800	17	1.04935	1.34893	1.68337	0.1
1900	18	1.07069	1.31177	1.60679	0.1
2000	19	1.06482	1.30455	1.64091	0.1
2100	21	1.0159	1.28866	1.71205	0.1
2200	22	1.08935	1.28388	1.71487	0.1
2300	23	1.03684	1.25125	1.52866	0.1
2400	23	0.839762	1.23899	1.65089	0.1
2500	24	1.02996	1.21134	1.47927	0.1
2600	25	0.999917	1.20825	1.49697	0.1
2700	26	0.913857	1.20446	1.52	0.1
2800	26	0.920152	1.19605	1.46022	0.1
2900	27	0.921002	1.17097	1.43145	0.1
3000	28	0.894316	1.20513	1.52553	0.1
3100	30	0.773397	1.13747	1.43282	0.1
3200	31	0.908539	1.18087	1.46924	0.1
3300	32	0.78757	1.1229	1.4692	0.1
3400	32	0.740761	1.1032	1.49403	0.1
3500	33	0.713147	1.10969	1.4518	0.1
3600	34	0.82406	1.12067	1.3862	0.1
3700	35	0.844557	1.08704	1.4506	0.1
3800	35	0.810572	1.09606	1.44574	0.1
3900	36	0.80203	1.07479	1.35441	0.1
4000	37	0.84903	1.07481	1.40136	0.1
4100	39	0.81589	1.06643	1.41135	0.1
4200	40	0.756388	1.05252	1.34937	0.1
4300	41	0.710067	1.05333	1.30791	0.1
4400	42	0.7626	1.04602	1.35651	0.1
4500	42	0.740982	1.02651	1.29884	0.1
4600	43	0.84409	1.00855	1.37837	0.1
4700	44	0.761541	1.02192	1.31088	0.1
4800	45	0.755306	0.998555	1.23832	0.1
4900	45	0.796638	1.01898	1.33976	0.1
5000	46	0.721136	0.989594	1.35257	0.1
5100	49	0.60101	0.99153	1.29361	0.1
5200	49	0.739353	0.97933	1.3237	0.1
5300	50	0.75249	0.99313	1.32717	0.1
5400	51	0.694696	0.976805	1.24771	0.1
5500	52	0.72133	0.954541	1.47364	0.1
5600	52	0.75327	0.971013	1.31364	0.1
5700	53	0.69658	0.978021	1.37141	0.1
5800	54	0.746253	0.948295	1.2986	0.1
5900	55	0.665291	0.959367	1.49068	0.1
6000	55	0.660678	0.947814	1.31181	0.1
6100	58	0.614973	0.921353	1.26251	0.1
6200	59	0.701308	0.930724	1.17587	0.1
6300	59	0.643329	0.93194	1.2589	0.1
6400	60	0.696459	0.944957	1.31172	0.1
6500	61	0.66302	0.909388	1.33527	0.1
6600	62	0.588262	0.909078	1.22601	0.1
6700	62	0.660313	0.915644	1.2293	0.1
6800	63	0.665984	0.897024	1.23569	0.1
6900	64	0.541342	0.900301	1.24992	0.1
7000	65	0.727643	0.909098	1.18293	0.1
7100	67	0.676109	0.883887	1.17531	0.1
7200	68	0.677539	0.889623	1.10038	0.1
7300	69	0.660999	0.877177	1.16962	0.1
7400	69	0.654029	0.887341	1.27856	0.1
7500	70	0.599715	0.874908	1.36016	0.1
7600	71	0.570449	0.852166	1.25015	0.1
7700	72	0.602325	0.872119	1.13383	0.1
7800	72	0.533136	0.846979	1.11387	0.1
7900	73	0.601969	0.843813	1.14571	0.1
8000	74	0.453144	0.849447	1.18764	0.1
8100	76	0.632164	0.843337	1.21055	0.1
8200	77	0.604245	0.855131	1.20657	0.1
8300	78	0.565273	0.85554	1.16464	0.1
8400	79	0.589711	0.867234	1.17008	0.1
8500	79	0.626815	0.834818	1.12807	0.1
8600	80	0.559117	0.822223	1.14004	0.1
8700	81	0.557558	0.84444	1.10895	0.1
8800	81	0.585577	0.872361	1.12581	0.1
8900	82	0.539139	0.864707	1.22802	0.1
9000	83	0.618906	0.838181	1.12915	0.1
9100	85	0.548095	0.846962	1.26525	0.1
9200	86	0.611613	0.816157	1.14635	0.1
9300	87	0.634618	0.788589	1.14671	0.1
9400	88	0.538896	0.834687	1.0691	0.1
9500	88	0.555276	0.79459	1.13042	0.1
9600	89	0.540765	0.805404	1.08126	0.1
9700	90	0.562668	0.811091	1.22097	0.1
9800	91	0.525814	0.813423	1.04788	0.1
9900	91	0.572072	0.814052	1.17971	0.1
10000	92	0.558824	0.820303	1.03289	0.1
10100	95	0.516118	0.7873	1.08094	0.1
10200	96	0.585206	0.823591	1.17119	0.1
10300	96	0.613158	0.798655	1.17376	0.1
10400	97	0.596593	0.777934	1.18116	0.1
10500	98	0.531114	0.776295	1.11117	0.1
10600	99	0.505191	0.775208	1.1405	0.1
10700	99	0.584839	0.798212	1.06378	0.1
10800	100	0.503892	0.772781	1.05178	0.1
10900	101	0.450369	0.743456	1.16564	0.1
11000	102	0.554558	0.747018	1.06398	0.1
11100	104	0.528542	0.768637	1.10028	0.1
11200	105	0.505809	0.777336	1.03911	0.1
11300	106	0.373488	0.75734	1.05793	0.1
11400	106	0.511661	0.776596	1.02214	0.1
11500	107	0.511354	0.760754	1.03714	0.1
11600	108	0.512747	0.764529	1.07144	0.1
11700	108	0.51578	0.76031	0.999561	0.1
11800	109	0.553088	0.755473	1.08454	0.1
11900	110	0.456622	0.73174	0.972861	0.1
12000	111	0.455124	0.741484	1.03716	0.1
12100	113	0.510618	0.731297	1.10934	0.1
12200	114	0.533675	0.752213	1.00756	0.1
12300	115	0.494846	0.748664	1.05603	0.1
12400	115	0.504807	0.749391	1.07913	0.1
12500	116	0.439205	0.7111	1.09262	0.1
12600	117	0.441312	0.74621	1.11111	0.1
12700	118	0.350725	0.71834	1.08561	0.1
12800	118	0.470065	0.710056	1.11974	0.1
12900	119	0.471077	0.74618	1.02996	0.1
13000	120	0.483632	0.72402	1.04836	0.1
13100	122	0.46144	0.712993	1.02418	0.1
13200	123	0.476277	0.700918	1.02026	0.1
13300	124	0.493539	0.739513	1.06295	0.1
13400	125	0.4889	0.734629	0.996824	0.1
13500	125	0.461126	0.705941	1.02021	0.1
13600	126	0.393594	0.728661	0.966317	0.1
13700	127	0.448192	0.712673	1.04163	0.1
13800	128	0.408205	0.683976	1.05873	0.1
13900	128	0.419101	0.685248	1.00278	0.1
14000	129	0.49787	0.71174	1.01091	0.1
14100	132	0.389309	0.708231	1.06291	0.1
14200	132	0.449213	0.70351	1.17152	0.1
14300	133	0.493507	0.694313	1.10633	0.1
14400	134	0.393871	0.690818	0.981265	0.1
14500	135	0.490081	0.679645	0.969188	0.1
14600	135	0.404745	0.690681	0.957833	0.1
14700	136	0.481654	0.691682	1.03198	0.1
14800	137	0.462708	0.690626	0.989606	0.1
14900	138	0.481033	0.70148	0.994047	0.1
15000	138	0.420072	0.673534	0.932173	0.1
15100	141	0.425999	0.680268	0.996753	0.1
15200	142	0.451165	0.680001	0.969382	0.1
15300	142	0.469582	0.676362	0.971218	0.1
15400	143	0.424361	0.666504	0.959412	0.1
15500	144	0.418971	0.706102	1.02319	0.1
15600	145	0.465546	0.680025	0.967032	0.1
15700	145	0.478637	0.663719	0.965043	0.1
15800	146	0.432289	0.690235	1.11568	0.1
15900	147	0.435921	0.686378	0.998925	0.1
16000	148	0.468487	0.687049	0.948082	0.1
16100	150	0.489219	0.661495	0.938807	0.1
16200	151	0.438742	0.664905	0.942805	0.1
16300	152	0.463888	0.663916	1.01832	0.1
16400	152	0.424309	0.665177	0.95265	0.1
16500	153	0.412346	0.674054	0.912631	0.1
16600	154	0.416236	0.6553	0.892935	0.1
16700	155	0.42843	0.662529	0.935645	0.1
16800	155	0.456721	0.653698	1.06608	0.1
16900	156	0.384536	0.656976	0.944579	0.1
17000	157	0.418313	0.652689	0.947057	0.1
17100	159	0.440621	0.643294	1.01893	0.1
17200	160	0.422669	0.650899	0.92933	0.1
17300	161	0.480413	0.671734	0.9309	0.1
17400	161	0.375003	0.637307	0.866151	0.1
17500	162	0.408673	0.649739	0.918273	0.1
17600	163	0.430955	0.631045	0.893483	0.1
17700	164	0.439261	0.634102	0.972685	0.1
17800	164	0.388708	0.641088	0.834672	0.1
17900	165	0.403259	0.659731	0.882279	0.1
18000	166	0.459091	0.673404	1.11996	0.1
18100	168	0.457865	0.642299	0.93494	0.1
18200	169	0.363728	0.669658	0.946174	0.1
18300	170	0.462391	0.646013	0.985791	0.1
18400	171	0.423999	0.630309	0.91136	0.1
18500	171	0.412316	0.628931	0.96065	0.1
18600	172	0.371209	0.633363	0.99725	0.1
18700	173	0.417634	0.624839	0.84453	0.1
18800	174	0.425232	0.641254	0.912769	0.1
18900	174	0.420615	0.641226	1.03048	0.1
19000	175	0.307936	0.638368	0.961425	0.1
19100	178	0.419644	0.621786	0.954743	0.1
19200	178	0.427862	0.61236	0.893847	0.1
19300	179	0.355624	0.641248	0.984472	0.1
19400	180	0.37729	0.611121	0.855286	0.1
19500	181	0.363905	0.639643	0.936156	0.1
19600	181	0.374516	0.631435	0.970704	0.1
19700	182	0.402056	0.625107	0.896058	0.1
19800	183	0.426019	0.614057	0.891745	0.1
19900	184	0.371558	0.605608	0.881372	0.1
20000	184	0.431777	0.636608	0.873168	0.01
20100	187	0.335741	0.554507	0.851681	0.01
20200	188	0.346122	0.54966	0.793871	0.01
20300	189	0.318744	0.537523	0.810595	0.01
20400	189	0.301064	0.521269	0.781683	0.01
20500	190	0.30929	0.521137	0.829083	0.01
20600	191	0.291333	0.516062	0.818834	0.01
20700	192	0.313461	0.509727	0.790592	0.01
20800	192	0.336584	0.511211	0.893821	0.01
20900	193	0.301742	0.520073	0.725486	0.01
21000	194	0.310116	0.489573	0.77216	0.01
21100	196	0.313514	0.494131	0.764112	0.01
21200	197	0.287083	0.491867	0.710284	0.01
21300	198	0.239693	0.497066	0.649417	0.01
21400	198	0.255744	0.488919	0.673262	0.01
21500	199	0.307216	0.475107	0.692701	0.01
21600	200	0.275547	0.496768	0.83298	0.01
21700	201	0.299178	0.480946	0.786734	0.01
21800	201	0.27349	0.501096	0.680494	0.01
21900	202	0.322667	0.492981	0.89673	0.01
22000	203	0.298324	0.476572	0.680376	0.01
22100	205	0.309265	0.478319	0.761455	0.01
22200	206	0.273934	0.485913	0.786877	0.01
22300	207	0.262632	0.480129	0.778056	0.01
22400	208	0.272127	0.47955	0.765706	0.01
22500	208	0.223562	0.463728	0.669599	0.01
22600	209	0.295532	0.475186	0.795059	0.01
22700	210	0.288413	0.47506	0.750083	0.01
22800	211	0.278392	0.479184	0.72479	0.01
22900	211	0.272623	0.482601	0.742002	0.01
23000	212	0.277398	0.449482	0.711325	0.01
23100	215	0.302447	0.468809	0.713521	0.01
23200	215	0.262467	0.472347	0.693471	0.01
23300	216	0.295459	0.468249	0.681741	0.01
23400	217	0.289887	0.455977	0.785964	0.01
23500	217	0.252944	0.46704	0.793195	0.01
23600	218	0.283483	0.458666	0.708253	0.01
23700	219	0.302791	0.466454	0.706073	0.01
23800	220	0.20225	0.4719	0.72679	0.01
23900	220	0.314648	0.471614	0.706388	0.01
24000	221	0.295978	0.500751	0.827223	0.01
24100	224	0.279763	0.4567	0.907655	0.01
24200	224	0.317895	0.452684	0.710875	0.01
24300	225	0.260428	0.464939	0.730324	0.01
24400	226	0.247604	0.449505	0.640962	0.01
24500	227	0.246814	0.455632	0.696382	0.01
24600	227	0.272599	0.459865	0.689034	0.01
24700	228	0.325299	0.457259	0.692022	0.01
24800	229	0.290334	0.464144	0.775501	0.01
24900	230	0.249083	0.451655	0.677594	0.01
25000	230	0.233712	0.461978	0.750484	0.01
25100	233	0.246014	0.468739	0.70195	0.01
25200	234	0.28827	0.46923	0.733031	0.01
25300	234	0.258144	0.46898	0.75798	0.01
25400	235	0.265326	0.463241	0.704592	0.01
25500	236	0.290417	0.447385	0.714797	0.01
25600	236	0.251653	0.454371	0.793966	0.01
25700	237	0.193826	0.437717	0.730859	0.01
25800	238	0.298983	0.445868	0.673653	0.01
25900	239	0.21389	0.445212	0.6831	0.01
26000	239	0.264975	0.470493	0.705684	0.01
26100	242	0.264643	0.448103	0.723745	0.01
26200	243	0.256246	0.445901	0.770387	0.01
26300	243	0.198474	0.440265	0.620588	0.01
26400	244	0.309614	0.451507	0.636029	0.01
26500	245	0.288534	0.460311	0.726061	0.01
26600	246	0.229632	0.44492	0.730444	0.01
26700	246	0.312655	0.461006	0.702027	0.01
26800	247	0.291316	0.457019	0.662041	0.01
26900	248	0.276994	0.448848	0.709521	0.01
27000	249	0.25789	0.455797	0.777633	0.01
27100	251	0.290865	0.437488	0.770485	0.01
27200	252	0.236283	0.438486	0.704325	0.01
27300	253	0.249967	0.456851	0.662032	0.01
27400	253	0.278988	0.42254	0.641122	0.01
27500	254	0.250019	0.436395	0.781722	0.01
27600	255	0.243517	0.447873	0.74809	0.01
27700	256	0.236929	0.422323	0.610611	0.01
27800	256	0.252474	0.408615	0.637232	0.01
27900	257	0.270495	0.447303	0.664085	0.01
28000	258	0.259939	0.430664	0.695218	0.01
28100	260	0.267209	0.43773	0.700778	0.01
28200	261	0.275682	0.442359	0.686316	0.01
28300	262	0.226646	0.443867	0.662536	0.01
28400	262	0.305486	0.440261	0.690696	0.01
28500	263	0.216301	0.415922	0.724012	0.01
28600	264	0.254132	0.436978	0.703897	0.01
28700	265	0.26429	0.442564	0.731267	0.01
28800	265	0.255576	0.422097	0.674432	0.01
28900	266	0.229915	0.429894	0.754273	0.01
29000	267	0.260226	0.430397	0.70888	0.01
29100	269	0.275907	0.439854	0.746536	0.01
29200	270	0.259782	0.410938	0.616408	0.01
29300	271	0.203299	0.431199	0.718172	0.01
29400	272	0.254129	0.429875	0.811193	0.01
29500	272	0.267384	0.42359	0.630043	0.01
29600	273	0.184049	0.43374	0.651316	0.01
29700	274	0.255681	0.41036	0.714577	0.01
29800	275	0.236345	0.409046	0.665514	0.01
29900	275	0.230478	0.456739	0.735345	0.01
30000	276	0.256154	0.436941	0.737247	0.01
30100	279	0.252918	0.415263	0.612305	0.01
30200	280	0.24656	0.424465	0.61932	0.01
30300	280	0.199699	0.4195	0.622415	0.01
30400	281	0.25442	0.434242	0.750404	0.01
30500	282	0.255751	0.422094	0.611935	0.01
30600	282	0.268882	0.43255	0.690866	0.01
30700	283	0.259833	0.430685	0.646546	0.01
30800	284	0.24312	0.436828	0.646905	0.01
30900	285	0.24909	0.414286	0.627109	0.01
31000	285	0.282948	0.413936	0.697038	0.01
31100	288	0.272538	0.43473	0.626927	0.01
31200	289	0.271461	0.422584	0.637842	0.01
31300	289	0.234745	0.430516	0.665676	0.01
31400	290	0.237094	0.41312	0.70314	0.01
31500	291	0.184563	0.437441	0.680828	0.01
31600	292	0.259294	0.413536	0.59544	0.01
31700	292	0.247259	0.433582	0.624236	0.01
31800	293	0.266932	0.426232	0.707296	0.01
31900	294	0.212332	0.42447	0.698068	0.01
32000	295	0.262976	0.42633	0.648366	0.01
32100	297	0.195554	0.420335	0.693249	0.01
32200	298	0.236996	0.431403	0.768777	0.01
32300	299	0.248867	0.423509	0.666958	0.01
32400	299	0.271073	0.429101	0.659895	0.01
32500	300	0.24639	0.421091	0.661349	0.01
32600	301	0.223617	0.40931	0.657971	0.01
32700	301	0.216555	0.414145	0.676079	0.01
32800	302	0.253573	0.420932	0.67977	0.01
32900	303	0.26431	0.433033	0.698774	0.01
33000	304	0.2653	0.438338	0.732806	0.01
33100	306	0.261729	0.389986	0.655369	0.01
33200	307	0.224159	0.424177	0.690173	0.01
33300	308	0.198534	0.415733	0.59867	0.01
33400	308	0.203508	0.422534	0.649126	0.01
33500	309	0.212606	0.444173	0.705574	0.01
33600	310	0.23041	0.414868	0.67016	0.01
33700	311	0.227223	0.412178	0.703666	0.01
33800	311	0.262138	0.426523	0.651518	0.01
33900	312	0.214787	0.432583	0.666626	0.01
34000	313	0.259725	0.406797	0.653127	0.01
34100	315	0.269759	0.40369	0.741187	0.01
34200	316	0.255422	0.430075	0.717303	0.01
34300	317	0.258655	0.413619	0.737776	0.01
34400	317	0.213425	0.390135	0.559574	0.01
34500	318	0.238869	0.417652	0.65219	0.01
34600	319	0.166844	0.399198	0.642182	0.01
34700	320	0.190334	0.399797	0.64411	0.01
34800	320	0.25803	0.393391	0.785423	0.01
34900	321	0.22595	0.414235	0.604831	0.01
35000	322	0.189431	0.402364	0.58757	0.01
35100	324	0.233326	0.390228	0.587601	0.01
35200	325	0.190249	0.407957	0.739789	0.01
35300	326	0.233313	0.386807	0.636384	0.01
35400	327	0.246589	0.403788	0.661875	0.01
35500	327	0.227704	0.398134	0.608737	0.01
35600	328	0.261191	0.408687	0.72792	0.01
35700	329	0.231901	0.394219	0.687123	0.01
35800	330	0.240991	0.405839	0.581364	0.01
35900	330	0.259918	0.387728	0.617319	0.01
36000	331	0.260444	0.411527	0.651584	0.01
36100	334	0.22653	0.407584	0.614131	0.01
36200	334	0.247228	0.423153	0.656661	0.01
36300	335	0.27218	0.395333	0.619797	0.01
36400	336	0.224767	0.399501	0.597416	0.01
36500	336	0.255092	0.395495	0.697231	0.01
36600	337	0.2448	0.410651	0.663743	0.01
36700	338	0.206983	0.381746	0.751878	0.01
36800	339	0.221885	0.377709	0.563953	0.01
36900	339	0.217802	0.402622	0.660344	0.01
37000	340	0.239952	0.407479	0.655625	0.01
37100	343	0.190313	0.40905	0.63127	0.01
37200	343	0.237185	0.409216	0.632796	0.01
37300	344	0.205153	0.391956	0.572748	0.01
37400	345	0.204412	0.407055	0.627546	0.01
37500	346	0.229958	0.422872	0.639485	0.01
37600	346	0.213307	0.405967	0.693862	0.01
37700	347	0.239935	0.384038	0.6457	0.01
37800	348	0.255319	0.393731	0.601849	0.01
37900	349	0.244399	0.406777	0.622282	0.01
38000	349	0.250638	0.409621	0.620173	0.01
38100	352	0.181695	0.395696	0.57765	0.01
38200	353	0.261651	0.401857	0.641828	0.01
38300	353	0.217845	0.392784	0.68186	0.01
38400	354	0.237985	0.382801	0.609511	0.01
38500	355	0.232255	0.408712	0.579898	0.01
38600	355	0.209089	0.400108	0.645446	0.01
38700	356	0.184893	0.3892	0.572703	0.01
38800	357	0.214239	0.425823	0.659352	0.01
38900	358	0.165815	0.388629	0.577857	0.01
39000	358	0.244198	0.401288	0.636723	0.01
39100	361	0.244205	0.39649	0.659139	0.01
39200	362	0.200863	0.416977	0.553415	0.01
39300	362	0.240887	0.399057	0.735474	0.01
39400	363	0.221134	0.389782	0.700015	0.01
39500	364	0.229818	0.390726	0.791313	0.01
39600	365	0.187633	0.379164	0.629085	0.01
39700	365	0.229641	0.381613	0.595271	0.01
39800	366	0.221189	0.394177	0.650561	0.01
39900	367	0.272386	0.389204	0.610996	0.01
40000	368	0.205213	0.406812	0.646989	0.001
40100	370	0.243669	0.388382	0.682139	0.001
40200	371	0.217468	0.389661	0.607821	0.001
40300	372	0.231445	0.386164	0.607019	0.001
40400	372	0.227606	0.397964	0.595435	0.001
40500	373	0.248946	0.390346	0.7053	0.001
40600	374	0.236593	0.395699	0.637465	0.001
40700	375	0.182536	0.378976	0.601614	0.001
40800	375	0.230405	0.385748	0.600071	0.001
40900	376	0.227563	0.381059	0.754537	0.001
41000	377	0.195533	0.378385	0.681695	0.001
41100	379	0.184364	0.390587	0.604547	0.001
41200	380	0.167413	0.39101	0.604825	0.001
41300	381	0.189197	0.379159	0.611707	0.001
41400	381	0.189129	0.369413	0.62937	0.001
41500	382	0.223538	0.383865	0.582485	0.001
41600	383	0.18555	0.398753	0.637192	0.001
41700	384	0.210163	0.39465	0.596415	0.001
41800	384	0.204326	0.373784	0.559459	0.001
41900	385	0.225145	0.368363	0.599501	0.001
42000	386	0.236893	0.378349	0.584483	0.001
42100	388	0.210897	0.381741	0.588425	0.001
42200	389	0.18824	0.391815	0.551929	0.001
42300	390	0.184717	0.379719	0.548282	0.001
42400	391	0.209385	0.377551	0.54947	0.001
42500	391	0.185394	0.402925	0.633593	0.001
42600	392	0.227245	0.375699	0.588081	0.001
42700	393	0.170972	0.380653	0.612864	0.001
42800	393	0.227483	0.391382	0.731738	0.001
42900	394	0.162005	0.380801	0.599277	0.001
43000	395	0.218907	0.391188	0.615827	0.001
43100	397	0.199831	0.37964	0.541014	0.001
43200	398	0.201952	0.374736	0.575846	0.001
43300	399	0.246964	0.3736	0.614763	0.001
43400	400	0.227215	0.377809	0.623363	0.001
43500	400	0.210591	0.372392	0.583587	0.001
43600	401	0.192716	0.376976	0.660919	0.001
43700	402	0.233894	0.376512	0.536611	0.001
43800	403	0.158513	0.360289	0.642032	0.001
43900	403	0.209473	0.375402	0.676484	0.001
44000	404	0.202719	0.379498	0.7017	0.001
44100	406	0.229334	0.381883	0.576263	0.001
44200	407	0.190218	0.370944	0.605833	0.001
44300	408	0.162648	0.363481	0.624835	0.001
44400	409	0.206988	0.37206	0.636307	0.001
44500	409	0.225187	0.388618	0.621273	0.001
44600	410	0.174276	0.402577	0.571668	0.001
44700	411	0.213627	0.381906	0.784638	0.001
44800	412	0.224077	0.390981	0.617887	0.001
44900	412	0.175976	0.362903	0.642025	0.001
45000	413	0.198967	0.364034	0.629651	0.001
45100	416	0.227794	0.371436	0.602435	0.001
45200	416	0.218186	0.388293	0.640298	0.001
45300	417	0.192326	0.39363	0.72552	0.001
45400	418	0.201296	0.370309	0.633771	0.001
45500	418	0.219758	0.380097	0.600611	0.001
45600	419	0.202576	0.359082	0.646765	0.001
45700	420	0.241766	0.37226	0.615344	0.001
45800	421	0.216211	0.380154	0.528686	0.001
45900	421	0.171501	0.367666	0.601229	0.001
46000	422	0.19459	0.363909	0.566617	0.001
46100	425	0.239668	0.369519	0.60177	0.001
46200	425	0.247337	0.373379	0.633121	0.001
46300	426	0.147925	0.365848	0.5968	0.001
46400	427	0.216321	0.362795	0.622342	0.001
46500	427	0.12189	0.374758	0.549005	0.001
46600	428	0.205639	0.366169	0.633086	0.001
46700	429	0.196937	0.365013	0.620593	0.001
46800	430	0.203038	0.383213	0.623846	0.001
46900	430	0.242169	0.377356	0.689463	0.001
47000	431	0.203487	0.370231	0.652858	0.001
47100	434	0.232863	0.365001	0.614749	0.001
47200	434	0.191123	0.384526	0.730613	0.001
47300	435	0.177933	0.377961	0.631265	0.001
47400	436	0.143069	0.372899	0.670526	0.001
47500	437	0.23121	0.364529	0.585362	0.001
47600	437	0.225934	0.378935	0.626596	0.001
47700	438	0.183414	0.376301	0.596421	0.001
47800	439	0.148456	0.387083	0.635	0.001
47900	439	0.204729	0.380688	0.669913	0.001
48000	440	0.239252	0.37661	0.722749	0.001
48100	443	0.217209	0.38136	0.635507	0.001
48200	443	0.241452	0.38546	0.562558	0.001
48300	444	0.248235	0.36717	0.606116	0.001
48400	445	0.193341	0.365952	0.619474	0.001
48500	446	0.197823	0.360557	0.582411	0.001
48600	446	0.212154	0.378593	0.601767	0.001
48700	447	0.233661	0.368867	0.556276	0.001
48800	448	0.186151	0.377515	0.646758	0.001
